SRR_ID	Tissue	Log2TPM1
SRR12697097	Brain	3.80326083
SRR10764640	Brain	3.849192846
SRR11939282	Brain	3.892884664
CNR0262749	Brain	3.944384714
ERR1464208	Brain	4.037793358
SRR12697103	Brain	4.072597965
CNR0262740	Brain	4.079869935
SRR6047327	Brain	4.084632554
ERR1464204	Brain	4.124002582
CNR0262773	Brain	4.134108954
SRR12202385	Brain	4.136076435
SRX372018	Brain	4.145701092
SRR5802618	Brain	4.150773547
SRR5802617	Brain	4.160754359
SRR5027050	Brain	4.207278795
SRR5802619	Brain	4.239973996
SRR10764638	Brain	4.243452478
SRR5802620	Brain	4.253650027
SRR2148919	Brain	4.282363442
CNR0262758	Brain	4.290497613
CNR0262780	Brain	4.377301055
SRR6047329	Brain	4.380407937
SRX372020	Brain	4.415930679
SRR6047326	Brain	4.524600636
SRR12202386	Brain	4.527009888
SRR1118243	Brain	4.53223466
SRX372019	Brain	4.565628613
CNR0262772	Brain	4.627623938
SRX372014	Brain	4.644405463
SRR6261049	Brain	4.699463238
SRR6047330	Brain	4.704291451
ERR1104680	Brain	4.706948106
SRR10095859	Brain	4.743668342
SRX372016	Brain	4.753692082
SRX372015	Brain	4.753692135
SRR6047328	Brain	4.776553628
SRR10095858	Brain	4.794205971
SRR10095871	Brain	4.79727596
SRR10095866	Brain	4.803157535
SRR10095869	Brain	4.807547767
SRR10095867	Brain	4.861442293
ERR1104679	Brain	4.87318038
CNR0262785	Brain	4.892697748
ERR1104677	Brain	4.895408929
SRR10095870	Brain	4.903872979
SRR10095868	Brain	4.91668625
SRR6047337	Brain	4.960953403
SRR7903776	Brain	4.966350356
ERR1104678	Brain	4.976164129
SRR12202382	Brain	4.999008212
SRR12202389	Brain	5.030395365
SRX372021	Brain	5.045847056
SRR7903777	Brain	5.081106773
SRR7144126	Brain	5.089155572
SRR3066483	Brain	5.101839518
SRR7903775	Brain	5.121265446
SRR5470026	Brain	5.137991908
SRR5470024	Brain	5.161285171
SRR12202384	Brain	5.208078875
SRX372017	Brain	5.217137248
SRR6203146	Brain	5.246886841
SRR5803236	Brain	5.247482183
SRR6203163	Brain	5.305778137
SRR5803237	Brain	5.318541978
SRR6203145	Brain	5.349801651
SRR6203152	Brain	5.351426496
SRR7144129	Brain	5.360633018
SRR5803238	Brain	5.365895498
SRR12202387	Brain	5.386739396
SRR6203153	Brain	5.439828458
SRR5803239	Brain	5.455514537
SRR12202383	Brain	5.481728244
SRR6203140	Brain	5.502868997
